,date,min,max,normal_min,normal_max,precipitation,precipitation_normal
0,18690101,19.0,29.0,29.8,40.6,0.75,0.12
1,18690102,21.0,27.0,29.6,40.4,0.78,0.24
2,18690103,27.0,35.0,29.4,40.3,0.78,0.35
3,18690104,34.0,37.0,29.2,40.1,0.96,0.48
4,18690105,37.0,43.0,29.0,40.0,1.01,0.6
5,18690106,34.0,38.0,28.9,39.9,1.01,0.73
6,18690107,35.0,48.0,28.7,39.7,1.01,0.85
7,18690108,40.0,54.0,28.5,39.6,1.01,0.96
8,18690109,38.0,48.0,28.3,39.5,1.01,1.08
9,18690110,33.0,44.0,28.2,39.5,1.02,1.2
10,18690111,30.0,33.0,28.1,39.4,1.02,1.33
11,18690112,29.0,37.0,27.9,39.3,1.87,1.45
12,18690113,28.0,38.0,27.8,39.2,1.87,1.57
13,18690114,32.0,42.0,27.7,39.2,1.87,1.69
14,18690115,39.0,42.0,27.6,39.2,1.91,1.81
15,18690116,32.0,38.0,27.5,39.1,1.91,1.93
16,18690117,29.0,35.0,27.4,39.1,1.91,2.05
17,18690118,26.0,29.0,27.3,39.1,1.91,2.16
18,18690119,27.0,34.0,27.3,39.1,2.06,2.27
19,18690120,30.0,37.0,27.2,39.1,2.06,2.39
20,18690121,29.0,42.0,27.2,39.1,2.06,2.5
21,18690122,17.0,29.0,27.2,39.1,2.06,2.62
22,18690123,20.0,39.0,27.1,39.2,2.06,2.73
23,18690124,35.0,48.0,27.1,39.2,2.06,2.85
24,18690125,22.0,38.0,27.1,39.3,2.06,2.96
25,18690126,18.0,31.0,27.2,39.3,2.06,3.07
26,18690127,23.0,40.0,27.2,39.4,2.06,3.18
27,18690128,35.0,47.0,27.2,39.5,2.06,3.29
28,18690129,30.0,48.0,27.3,39.6,2.06,3.41
29,18690130,41.0,54.0,27.3,39.7,2.53,3.52
30,18690131,30.0,41.0,27.4,39.8,2.53,3.64
31,18690201,25.0,33.0,27.5,39.9,2.53,3.76
32,18690202,22.0,34.0,27.6,40.0,2.53,3.87
33,18690203,35.0,36.0,27.7,40.1,2.53,3.98
34,18690204,21.0,38.0,27.8,40.3,4.08,4.09
35,18690205,22.0,26.0,27.9,40.4,4.08,4.21
36,18690206,26.0,40.0,28.0,40.6,4.08,4.32
37,18690207,23.0,36.0,28.2,40.7,4.08,4.42
38,18690208,25.0,40.0,28.3,40.9,4.08,4.53
39,18690209,34.0,38.0,28.5,41.0,4.08,4.63
40,18690210,34.0,39.0,28.6,41.2,4.93,4.73
41,18690211,38.0,46.0,28.8,41.4,4.98,4.84
42,18690212,36.0,48.0,28.9,41.6,4.98,4.95
43,18690213,40.0,61.0,29.1,41.8,4.98,5.06
44,18690214,35.0,42.0,29.3,42.0,4.98,5.17
45,18690215,32.0,43.0,29.5,42.1,7.58,5.28
46,18690216,36.0,44.0,29.6,42.3,7.58,5.39
47,18690217,34.0,46.0,29.8,42.6,7.58,5.51
48,18690218,30.0,41.0,30.0,42.8,8.12,5.63
49,18690219,30.0,42.0,30.2,43.0,8.18,5.75
50,18690220,32.0,39.0,30.4,43.2,8.18,5.86
51,18690221,33.0,40.0,30.6,43.4,8.18,5.98
52,18690222,38.0,50.0,30.8,43.6,8.18,6.1
53,18690223,33.0,44.0,31.0,43.9,8.74,6.22
54,18690224,27.0,38.0,31.2,44.1,8.74,6.34
55,18690225,26.0,38.0,31.4,44.3,8.74,6.46
56,18690226,31.0,34.0,31.6,44.6,9.40,6.58
57,18690227,22.0,31.0,31.8,44.8,9.40,6.71
58,18690228,17.0,25.0,32.0,45.1,9.40,6.83
59,18690301,4.0,26.0,32.2,45.3,9.40,6.96
60,18690302,19.0,36.0,32.4,45.6,9.42,7.09
61,18690303,28.0,43.0,32.6,45.8,9.42,7.23
62,18690304,19.0,44.0,32.8,46.1,9.52,7.36
63,18690305,11.0,35.0,33.1,46.4,9.52,7.49
64,18690306,20.0,36.0,33.3,46.6,9.55,7.62
65,18690307,20.0,26.0,33.5,46.9,9.55,7.77
66,18690308,26.0,38.0,33.7,47.2,9.55,7.91
67,18690309,32.0,46.0,33.9,47.5,9.55,8.06
